name,lat,lon
Новодачная,55.924459,37.527877
Марк,55.904458,37.538242
Лианозово,55.897316,37.553261
Бескудниково,55.882713,37.567768
Дегунино,55.86586,37.573235
Окружная,55.848889,37.571111
Тимирязевская,55.81866,37.574498
Савёловская,55.793936,37.587038
Белорусская,55.775179,37.582303
Беговая,55.773505,37.545518
Тестовская,55.754292,37.531551
Фили,55.744263,37.514526
Славянский бульвар,55.729722,37.470556
Кунцевская,55.730554,37.445591
Рабочий Посёлок,55.726957,37.415577
Сетунь,55.723713,37.397259
Немчиновка,55.715668,37.374611
Сколково,55.666801,37.424618
Баковка,55.682816,37.315205
Одинцово,55.67798,37.27773
Нахабино,55.841522,37.185204
Аникеевка,55.832099,37.219829
Опалиха,55.82333,37.246843
Красногорская,55.814571,37.303337
Павшино,55.815231,37.341461
Пенягино,55.822539,37.361049
Волоколамская,55.835154,37.382453
Трикотажная,55.833137,37.398967
Тушинская,55.825479,37.437024
Покровское-Стрешнево,55.814247,37.47678
Стрешнево,55.813611,37.486944
Красный Балтиец,55.815514,37.526367
Гражданская,55.805527,37.55315
Дмитровская,55.808056,37.581734
Рижская,55.792494,37.636114
Площадь трёх вокзалов,55.776087,37.651861
Курская,55.757622,37.660767
Москва Товарная,55.745358,37.688839
Калитники,55.733981,37.702203
Новохохловская,55.718523,37.719236
Текстильщики,55.708934,37.731283
Люблино,55.676596,37.761639
Депо,55.674257,37.728446
Перерва,55.660809,37.716278
Курьяново,55.649722,37.701667
Москворечье,55.641239,37.689789
Царицыно,55.618309,37.668846
Покровское,55.814247,37.47678
Красный строитель,55.589455,37.615093
Битца,55.571186,37.611443
Бутово,55.548279,37.555668
Щербинка,55.509724,37.562008
Остафьево,55.50337,37.520055
Силикатная,55.470278,37.555278
Подольск,55.431667,37.565
Марьина Роща,55.800833,37.618889
Крюково,55.979722,37.173611
Малино,55.969167,37.211667
Фирсановская,55.960278,37.251111
Сходня,55.949722,37.298611
Подрезково,55.941667,37.334722
Новоподрезково,55.936389,37.351667
Молжаниново,55.924167,37.380833
Химки,55.894444,37.450833
Левобережная,55.886944,37.468611
Ховрино,55.879444,37.486667
Грачёвская,55.869444,37.509167
Моссельмаш,55.862222,37.526389
Лихоборы,55.85,37.5525
Петровско-Разумовская,55.839722,37.568333
Останкино,55.817222,37.603611
Рижская,55.796944,37.639167
Митьково,55.786389,37.6675
Электрозаводская,55.781111,37.705278
Сортировочная,55.763611,37.720833
Авиамоторная,55.750278,37.721944
Андроновка,55.744444,37.741111
Перово,55.735556,37.765
Плющево,55.730556,37.774167
Вешняки,55.721944,37.799167
Выхино,55.716575,37.815911
Косино,55.714167,37.8475
Ухтомская,55.698611,37.864167
Люберцы I,55.681667,37.896944
Панки,55.668889,37.9225
Томилино,55.655,37.954722
Красково,55.649722,37.9825
Малаховка,55.645,38.008333
Удельная,55.634444,38.043889
Быково,55.626667,38.070556
Ильинская,55.616389,38.100278
Отдых,55.601111,38.136944
Кратово,55.591667,38.16
Есенинская,55.581944,38.184167
Фабричная,55.572778,1.873333
Раменское,55.565278,55.565278
Ипподром,55.560278,38.238889
Железнодорожная,55.7525,38.008889
Ольгино,55.751667,37.978611
Кучино,55.752222,37.954722
Салтыковская,55.757778,37.923056
Никольское,55.759722,37.897778
Реутово,55.751389,37.855833
Новогиреево,55.744444,37.818333
Кусково,55.739722,37.795278
Чухлинка,55.733889,55.733889
Нижегородская,55.733333,37.729444
Серп и Молот,55.748056,37.681944
Курская,55.740833,37.660556
Площадь трёх вокзалов,55.776667,37.651111
Рижская,55.793889,37.638611
Марьина Роща,55.800833,37.618889
Савёловская,55.794444,37.590278
Белорусская,55.776389,37.580278
Ермакова Роща,55.765556,37.535278
Тестовская,55.750833,37.530278
Кутузовская,55.741944,37.533056
Поклонная,55.728333,37.511667
Минская,55.723333,37.533056
Матвеевское,55.704722,37.482222
Аминьевская,55.699444,37.468056
Очаково I,55.683611,37.451389
Мещерская,55.666667,37.424444
Солнечная,55.656944,37.383611
Новопеределкино,55.639167,37.381111
Переделкино,55.656111,37.353889
Мичуринец,55.646111,37.315
Внуково,55.648889,37.269722
Лесной Городок,55.630278,37.219167
Толстопальцево,55.607778,37.186389
Кокошкино,55.599722,37.171389
Санино,55.583889,37.138333
Крёкшино,55.577778,37.109722
Победа,55.566111,37.093056
Апрелевка,55.550278,37.0675
Новаторская,55.670833,37.52
Университет дружбы народов,55.64824,37.507556
Генерала Тюленева,55.626248,37.486032
Тютчевская,55.618801,37.481415
Корниловская,55.599411,37.479586
Коммунарка,55.57354,37.468116
Новомосковская,55.560094,37.469807
